id,code,name,city_id
501,26260740,안락제1동,31
502,26260750,안락제2동,31
503,26260761,명장제1동,31
504,26260762,명장제2동,31
505,26290510,대연제1동,29
506,26290530,대연제3동,29
507,26290540,대연제4동,29
508,26290550,대연제5동,29
509,26290560,대연제6동,29
510,26290570,용호제1동,29
511,26290580,용호제2동,29
512,26290590,용호제3동,29
513,26290600,용호제4동,29
514,26290610,용당동,29
515,26290620,감만제1동,29
516,26290630,감만제2동,29
517,26290645,우암동,29
518,26290680,문현제1동,29
519,26290690,문현제2동,29
520,26290700,문현제3동,29
521,26290710,문현제4동,29
522,26320510,구포제1동,33
523,26320520,구포제2동,33
524,26320521,구포제3동,33
525,26320530,금곡동,33
526,26320541,화명제1동,33
527,26320542,화명제2동,33
528,26320543,화명제3동,33
529,26320550,덕천제1동,33
530,26320560,덕천제2동,33
531,26320561,덕천제3동,33
532,26320571,만덕제1동,33
533,26320572,만덕제2동,33
534,26320573,만덕제3동,33
535,26350510,우제1동,41
536,26350520,우제2동,41
537,26350525,우제3동,41
538,26350530,중제1동,41
539,26350540,중제2동,41
540,26350551,좌제1동,41
541,26350552,좌제2동,41
542,26350553,좌제3동,41
543,26350554,좌제4동,41
544,26350560,송정동,41
545,26350570,반여제1동,41
546,26350580,반여제2동,41
547,26350590,반여제3동,41
548,26350595,반여제4동,41
549,26350610,반송제1동,41
550,26350620,반송제2동,41
551,26350650,재송제1동,41
552,26350660,재송제2동,41
553,26380510,괴정제1동,35
554,26380520,괴정제2동,35
555,26380530,괴정제3동,35
556,26380540,괴정제4동,35
557,26380550,당리동,35
558,26380561,하단제1동,35
559,26380562,하단제2동,35
560,26380571,신평제1동,35
561,26380572,신평제2동,35
562,26380580,장림제1동,35
563,26380590,장림제2동,35
564,26380601,다대제1동,35
565,26380602,다대제2동,35
566,26380610,구평동,35
567,26380620,감천제1동,35
568,26380630,감천제2동,35
569,26410510,서제1동,27
570,26410520,서제2동,27
571,26410530,서제3동,27
572,26410555,금사회동동,27
573,26410570,부곡제1동,27
574,26410580,부곡제2동,27
575,26410590,부곡제3동,27
576,26410591,부곡제4동,27
577,26410600,장전제1동,27
578,26410610,장전제2동,27
579,26410635,선두구동,27
580,26410665,청룡노포동,27
581,26410670,남산동,27
582,26410680,구서제1동,27
583,26410690,구서제2동,27
584,26410700,금성동,27
585,26440510,대저1동,26
586,26440520,대저2동,26
587,26440530,강동동,26
588,26440535,명지1동,26
589,26440545,명지2동,26
590,26440550,가락동,26
591,26440560,녹산동,26
592,26440580,가덕도동,26
593,26470610,거제제1동,38
594,26470620,거제제2동,38
595,26470630,거제제3동,38
596,26470640,거제제4동,38
597,26470650,연산제1동,38
598,26470660,연산제2동,38
599,26470670,연산제3동,38
600,26470680,연산제4동,38
601,26470690,연산제5동,38
602,26470700,연산제6동,38
603,26470720,연산제8동,38
604,26470730,연산제9동,38
605,26500660,남천제1동,37
606,26500670,남천제2동,37
607,26500730,수영동,37
608,26500740,망미제1동,37
609,26500750,망미제2동,37
610,26500760,광안제1동,37
611,26500770,광안제2동,37
612,26500780,광안제3동,37
613,26500790,광안제4동,37
614,26500800,민락동,37
615,26530580,삼락동,34
616,26530591,모라제1동,34
617,26530593,모라제3동,34
618,26530600,덕포제1동,34
619,26530610,덕포제2동,34
620,26530620,괘법동,34
621,26530645,감전동,34
622,26530650,주례제1동,34
623,26530660,주례제2동,34
624,26530661,주례제3동,34
625,26530670,학장동,34
626,26530680,엄궁동,34
627,26710250,기장읍,28
628,26710253,장안읍,28
629,26710256,정관읍,28
630,26710259,일광읍,28
631,26710330,철마면,28
632,27110517,동인동,49
633,27110545,삼덕동,49
634,27110565,성내1동,49
635,27110575,성내2동,49
636,27110585,성내3동,49
637,27110595,대신동,49
638,27110640,남산1동,49
639,27110650,남산2동,49
640,27110660,남산3동,49
641,27110670,남산4동,49
642,27110680,대봉1동,49
643,27110690,대봉2동,49
644,27140510,신암1동,45
645,27140520,신암2동,45
646,27140530,신암3동,45
647,27140540,신암4동,45
648,27140541,신암5동,45
649,27140555,신천1.2동,45
650,27140570,신천3동,45
651,27140580,신천4동,45
652,27140590,효목1동,45
653,27140600,효목2동,45
654,27140615,도평동,45
655,27140620,불로.봉무동,45
656,27140640,지저동,45
657,27140655,동촌동,45
658,27140670,방촌동,45
659,27140685,해안동,45
660,27140720,안심1동,45
661,27140730,안심2동,45
662,27140742,안심3동,45
663,27140747,안심4동,45
664,27140755,혁신동,45
665,27140760,공산동,45
666,27170510,내당1동,47
667,27170525,내당2.3동,47
668,27170540,내당4동,47
669,27170550,비산1동,47
670,27170565,비산2.3동,47
671,27170580,비산4동,47
672,27170590,비산5동,47
673,27170600,비산6동,47
674,27170610,비산7동,47
675,27170620,평리1동,47
676,27170630,평리2동,47
677,27170640,평리3동,47
678,27170650,평리4동,47
679,27170660,평리5동,47
680,27170661,평리6동,47
681,27170675,상중이동,47
682,27170695,원대동,47
683,27200515,이천동,42
684,27200530,봉덕1동,42
685,27200540,봉덕2동,42
686,27200550,봉덕3동,42
687,27200560,대명1동,42
688,27200571,대명2동,42
689,27200586,대명3동,42
690,27200590,대명4동,42
691,27200600,대명5동,42
692,27200610,대명6동,42
693,27200640,대명9동,42
694,27200650,대명10동,42
695,27200660,대명11동,42
696,27230510,고성동,46
697,27230526,칠성동,46
698,27230550,침산1동,46
699,27230560,침산2동,46
700,27230570,침산3동,46
701,27230610,산격1동,46
702,27230620,산격2동,46
703,27230630,산격3동,46
704,27230631,산격4동,46
705,27230645,대현동,46
706,27230671,복현1동,46
707,27230672,복현2동,46
708,27230680,검단동,46
709,27230695,무태조야동,46
710,27230715,관문동,46
711,27230725,태전1동,46
712,27230735,태전2동,46
713,27230745,구암동,46
714,27230750,관음동,46
715,27230770,읍내동,46
716,27230780,동천동,46
717,27230790,노원동,46
718,27230800,국우동,46
719,27260510,범어1동,48
720,27260520,범어2동,48
721,27260530,범어3동,48
722,27260540,범어4동,48
723,27260550,만촌1동,48
724,27260560,만촌2동,48
725,27260561,만촌3동,48
726,27260570,수성1가동,48
727,27260580,수성2.3가동,48
728,27260590,수성4가동,48
729,27260601,황금1동,48
730,27260602,황금2동,48
731,27260610,중동,48
732,27260620,상동,48
733,27260630,파동,48
734,27260640,두산동,48
735,27260651,지산1동,48
736,27260652,지산2동,48
737,27260661,범물1동,48
738,27260662,범물2동,48
739,27260670,고산1동,48
740,27260680,고산2동,48
741,27260690,고산3동,48
742,27290515,성당동,43
743,27290535,두류1.2동,43
744,27290550,두류3동,43
745,27290555,감삼동,43
746,27290563,죽전동,43
747,27290568,장기동,43
748,27290571,용산1동,43
749,27290572,용산2동,43
750,27290576,이곡1동,43
751,27290577,이곡2동,43
752,27290585,신당동,43
753,27290590,본리동,43
754,27290601,월성1동,43
